# Latitude, Longitude, 53.0355, -163.5385
# DateTime, 2024-06-28 15:37:10
# OriginalFile, ../CTD_examples/SKQ202409S_009avg.cnv
# Sound Speed Model, Mackenzie
Depth_m,SoundSpeed_m_per_s
2.973,1477.1853714912436
3.965,1477.2008961190268
4.956,1477.2171772009572
5.947,1477.2333323102985
6.938,1477.2502601743108
7.929,1477.2657698168077
8.92,1477.282572036914
9.911,1477.2980823368728
10.902,1477.3150115156036
11.893,1477.33168110985
12.885,1477.3467181144094
13.876,1477.3645323816752
14.867,1477.3818417679636
15.858,1477.397873863607
16.849,1477.4140325884584
17.84,1477.4290330164756
18.831,1477.4469898312707
19.822,1477.4634094462817
20.813,1477.4799556893195
21.804,1477.4963759594402
22.795,1477.5118905468364
23.786,1477.52882397836
24.777,1477.5434405100855
25.769,1477.3735934176789
26.759,1476.6177328316053
27.751,1475.220280379249
28.741,1473.9071408982427
29.733,1474.2697515027455
30.724,1473.566923665782
31.715,1473.2437939230897
32.706,1472.9276135382297
33.697,1472.61506211305
34.687,1472.4919147760718
35.678,1472.391406982808
36.67,1472.2004444037852
37.66,1471.7451435265257
38.651,1471.5193909427335
39.643,1470.4113570208256
40.633,1470.1343126860634
41.624,1470.1245723297302
42.615,1469.7609685883099
43.606,1469.4713569988862
44.597,1469.2794779311332
45.588,1469.0989157323488
46.579,1467.9636172043618
47.57,1467.5978659276577
48.561,1467.0501837944546
49.552,1466.7044936624727
50.543,1466.1728262157474
51.534,1466.5680182217538
52.525,1465.7558591160348
53.515,1465.5001533657305
54.506,1465.2640749600625
55.497,1465.0494711982253
56.488,1464.9383276157976
57.479,1464.672347387035
58.47,1464.5462595869637
59.461,1464.4498498463427
60.452,1464.31937410724
61.443,1464.1011680063789
62.433,1464.0108271749182
63.424,1463.942379171952
64.415,1463.8827532209466
65.406,1463.8875899254394
66.397,1463.8847019379077
67.387,1463.8389786027496
68.378,1463.8028586037924
69.369,1463.8580428188814
70.36,1463.9155115346932
71.351,1464.0180458514449
72.342,1464.132495218853
73.332,1464.2402842739957
74.323,1464.307832234008
75.314,1464.3500837801307
76.305,1464.388048393556
77.296,1464.4839644159092
78.286,1464.7183159420126
79.277,1464.8781700150485
80.268,1465.0562019833335
81.259,1465.3188151007137
82.25,1465.5969403360164
83.24,1465.5279207988083
84.231,1465.5118762748957
85.222,1465.5391451091589
86.212,1465.6200442195532
87.203,1465.6377626990873
88.194,1465.8354078036061
89.185,1465.8926942740115
90.175,1465.9783329541985
91.166,1466.01104027525
92.157,1466.1949639784973
93.147,1466.6541750053457
94.138,1466.7809111481572
95.129,1467.056298892665
96.12,1467.1698820376228
97.11,1467.2251126360031
98.101,1467.262289942135
99.092,1467.3578924687165
100.082,1467.473900013721
101.073,1467.6213283114141
102.064,1467.734246098011
103.054,1467.967203062597
104.045,1468.1155675369512
105.035,1468.1574452271186
106.026,1468.1916432369196
107.017,1468.233432684189
108.008,1468.2681506797417
108.998,1468.2921239370687
109.989,1468.3107497911315
110.979,1468.3314075180278
111.97,1468.3502928773353
112.961,1468.3720031200603
113.951,1468.4268868867189
114.942,1468.476320369044
115.933,1468.49625803408
116.923,1468.5422450932067
117.914,1468.5852175008008
118.904,1468.6024268860187
119.895,1468.6181190175835
120.885,1468.6291707894093
121.876,1468.6470084462985
122.867,1468.6620749120636
123.857,1468.680318913349
124.848,1468.688548101432
125.838,1468.6998676371795
126.829,1468.6935728122323
127.819,1468.7235372076298
128.81,1468.7033410283823
129.8,1468.6841621049311
130.791,1468.6738123514353
131.781,1468.685445523566
132.772,1468.7027547712207
133.762,1468.7106747053854
134.753,1468.7181992115509
135.744,1468.7330449171384
136.734,1468.7458519062288
137.724,1468.7526096178813
138.715,1468.762156524365
139.705,1468.7670117590937
140.696,1468.7739633176807
141.686,1468.7774457018743
142.677,1468.7681100621787
143.667,1468.7733316288138
144.658,1468.778542086553
145.648,1468.786724904409
146.639,1468.7854369250772
147.629,1468.7920591048821
148.62,1468.8058704153525
149.61,1468.8187805393593
150.6,1468.8314317869324
151.591,1468.8404614961566
152.581,1468.8377279661922
153.572,1468.8127138905975
154.562,1468.7687456098802
155.553,1468.7762087492074
156.543,1468.786935209752
157.533,1468.7894168071134
158.523,1468.7948848917463
159.514,1468.8042497480153
160.504,1468.808189126518
161.495,1468.8183791298343
162.485,1468.808365605377
163.476,1468.786885579461
164.466,1468.778770456625
165.456,1468.779316594955
166.447,1468.7944523539516
167.437,1468.8178724288357
168.427,1468.8230814331093
169.418,1468.8271041647174
170.408,1468.8090271054828
171.398,1468.8239157608775
172.388,1468.8457009343442
173.379,1468.8954928891833
174.369,1468.924600646819
175.36,1468.9394052744365
176.35,1468.9448747986796
177.34,1468.9546384128191
178.331,1468.9661589546088
179.321,1468.974460851471
180.311,1468.9870106184082
181.301,1468.975929442906
182.291,1468.9683062310776
183.282,1468.9786035372092
184.272,1468.9915697227423
185.262,1468.9914518994046
186.253,1469.0012026651711
187.243,1469.015678841788
188.233,1469.0267380160806
189.223,1469.030007904992
190.214,1469.0322743746785
191.204,1469.0427125409944
192.194,1469.0563560415803
193.185,1469.0619007303192
194.174,1469.0780480189644
195.165,1469.0936539281547
196.155,1469.1063810489784
197.145,1469.1190621964377
198.135,1469.1331519165622
199.125,1469.1455184740505
200.116,1469.1573828113997
201.106,1469.1590659617773
202.096,1469.1487457950925
203.086,1469.1574882837906
204.076,1469.1613271944166
205.067,1469.171782147412
206.057,1469.1848813559568
207.047,1469.1965436806936
208.037,1469.2071123998062
209.027,1469.217940656896
210.017,1469.2253753827497
211.007,1469.236491193551
211.997,1469.2494618624276
212.988,1469.2603349191497
213.978,1469.2685303885512
214.968,1469.2728858959501
215.958,1469.285744822648
216.948,1469.290618540154
217.938,1469.3005389616844
218.928,1469.3167761144746
219.918,1469.3192576308397
220.909,1469.329138285578
221.899,1469.3434925807055
222.889,1469.358580420101
223.879,1469.3722302309443
224.869,1469.3796921781661
225.859,1469.3853260552573
226.849,1469.3934926512936
227.839,1469.388824554299
228.829,1469.410214678748
229.819,1469.4127096204643
230.809,1469.4248199445058
231.799,1469.4384993687293
232.789,1469.4525400768932
233.779,1469.4651701662604
234.769,1469.4788220903215
235.759,1469.4918702589728
236.749,1469.5028304600307
237.739,1469.5147841837233
238.73,1469.5271721313736
239.72,1469.5389681003373
240.709,1469.5551395333564
241.699,1469.5658126769
242.689,1469.571388164687
243.679,1469.583054890612
244.669,1469.592130046045
245.659,1469.6064617838138
246.649,1469.6198284786105
247.639,1469.6324896532337
248.629,1469.6458284188686
249.619,1469.658879417587
250.609,1469.6744659300691
251.599,1469.6904705647503
252.589,1469.7086943433521
253.579,1469.7271495876153
254.569,1469.7356950358385
255.559,1469.7346293532476
256.549,1469.7450605300012
257.539,1469.7594966430381
258.529,1469.769696903217
259.519,1469.7761071667426
260.508,1469.7867373606234
261.498,1469.8007848812333
262.488,1469.812397506028
263.478,1469.8253499174011
264.468,1469.8391671327872
265.458,1469.8529560616769
266.448,1469.8679993007381
267.438,1469.8824950151882
268.427,1469.8924203909362
269.417,1469.9113280318966
270.407,1469.9221062842005
271.397,1469.9294674505027
272.387,1469.9454783342421
273.377,1469.962167254026
274.367,1469.975727538082
275.356,1469.9900792618944
276.346,1469.9962307412195
277.336,1470.0098642627277
278.326,1470.0243781859635
279.315,1470.0368712431564
280.305,1470.0533886788594
281.295,1470.0621790869536
282.285,1470.0702190245463
283.275,1470.0851371881313
284.264,1470.1016108795195
285.254,1470.1159242621425
286.244,1470.1283341325732
287.234,1470.135278609853
288.224,1470.1288817710329
289.213,1470.1346834263225
290.203,1470.1529785800967
291.193,1470.1666726070598
292.182,1470.1694308093174
293.172,1470.180499772835
294.162,1470.19115043686
295.152,1470.2056532144898
296.141,1470.2185384872098
297.131,1470.2298388850268
298.121,1470.2408074774708
299.111,1470.2521657595705
300.1,1470.2686446801786
301.09,1470.2859483566308
302.08,1470.299558444659
303.069,1470.3113486524558
304.059,1470.3200094979443
305.049,1470.329247466684
306.038,1470.34263996731
307.028,1470.3584014905414
308.018,1470.3648688125777
309.008,1470.368997205416
309.997,1470.385190681837
310.987,1470.404417773039
311.976,1470.4171185163732
312.966,1470.4326220653209
313.956,1470.4668888922156
314.945,1470.508050827512
315.935,1470.5222711949634
316.925,1470.5362321060281
317.914,1470.5514613273917
318.904,1470.5662887561568
319.894,1470.5818236553648
320.883,1470.5971836924275
321.873,1470.6101502706385
322.862,1470.6223934769985
323.852,1470.6329212247822
324.842,1470.6463069940303
325.831,1470.65899828238
326.821,1470.670421510189
327.81,1470.6728498375003
328.8,1470.6769102545702
329.789,1470.6850684612934
330.779,1470.6971991046012
331.769,1470.717660883715
332.758,1470.7360269691742
333.748,1470.751407186556
334.737,1470.767218999253
335.727,1470.7805064348013
336.716,1470.7940375036162
337.706,1470.8057805472222
338.695,1470.8208570681736
339.685,1470.8379857979805
340.674,1470.8479802479064
341.664,1470.8568220808677
342.654,1470.8194033776597
343.643,1470.8079724826825
344.632,1470.8085713071928
345.622,1470.8156588451113
346.612,1470.8274724533987
347.601,1470.8395881802353
348.59,1470.8491312129947
349.58,1470.856335354576
350.569,1470.8694195681555
351.558,1470.8805384205637
352.548,1470.8983503586815
353.538,1470.9020716699924
354.527,1470.912511824612
355.516,1470.9158972470457
356.506,1470.923171818611
357.495,1470.930748343724
358.485,1470.942881720381
359.474,1470.9551582306167
360.463,1470.9648604777879
361.453,1470.9692998137714
362.443,1470.984587177593
363.432,1470.9911063142588
364.421,1471.000908904105
365.411,1471.0146201666428
366.4,1471.028185321577
367.389,1471.0437176730895
368.379,1471.0599460690469
369.368,1471.075768471833
370.358,1471.0870358961201
371.347,1471.093065110427
372.336,1471.095389741689
373.325,1471.1059611850878
374.315,1471.1188060921827
375.304,1471.13176478577
376.294,1471.1366807379816
377.283,1471.1478316014457
378.273,1471.1586502680047
379.262,1471.1724191229912
380.251,1471.1791262228296
381.24,1471.182736024117
382.23,1471.1882843117398
383.219,1471.2076321048642
384.208,1471.2168153876398
385.198,1471.2271441064972
386.187,1471.2369067978448
387.176,1471.2453212969483
388.165,1471.2569634664032
389.155,1471.2658437552725
390.144,1471.2790946001746
